campaign_id,campaign_name,start_date,end_date,budget
1,Spring Sale,01-03-2023,31-03-2023,5000
2,Summer Promotion,01-06-2023,30-06-2023,7000
3,Back to School,01-08-2023,31-08-2023,6000
4,Holiday Specials,01-11-2023,31-12-2023,10000
5,New Year Discounts,01-01-2023,31-01-2023,8000
6,Valentine's Day,01-02-2023,14-02-2023,3000
7,Easter Promotions,01-04-2023,30-04-2023,4000
8,Fall Clearance,01-09-2023,30-09-2023,5500
9,Cyber Monday Deals,27-11-2023,30-11-2023,9000
10,Black Friday Sales,24-11-2023,25-11-2023,12000
11,Winter Wonderland,01-12-2023,31-12-2023,11000
12,Spring Refresh,15-03-2023,15-04-2023,6500
13,Summer Fun,15-06-2023,15-07-2023,7200
14,Back to School Bash,15-08-2023,15-09-2023,5800
15,Halloween Specials,01-10-2023,31-10-2023,3500
16,Thanksgiving Deals,01-11-2023,30-11-2023,9500
17,Spring Fling,01-03-2023,31-03-2023,5000
18,Summer Sizzle,01-06-2023,30-06-2023,7000
19,Fall Fest,01-09-2023,30-09-2023,6000
20,Winter Warm-Up,01-12-2023,31-12-2023,10000
21,"New Year, New You",01-01-2023,31-01-2023,8000
22,Valentine's Week,01-02-2023,14-02-2023,3000
23,Easter Extravaganza,01-04-2023,30-04-2023,4000
24,Fall Frenzy,01-09-2023,30-09-2023,5500
25,Cyber Week,27-11-2023,30-11-2023,9000
26,Black Friday Deals,24-11-2023,25-11-2023,12000
27,Winter Wonderland,01-12-2023,31-12-2023,11000
28,Spring Awakening,15-03-2023,15-04-2023,6500
29,Summer Splash,15-06-2023,15-07-2023,7200
30,Back to School Bash,15-08-2023,15-09-2023,5800
31,Halloween Haunt,01-10-2023,31-10-2023,3500
32,Thanksgiving Feast,01-11-2023,30-11-2023,9500
33,Spring into Savings,01-03-2023,31-03-2023,5000
34,Summer Vibes,01-06-2023,30-06-2023,7000
35,Fall Harvest,01-09-2023,30-09-2023,6000
36,Winter Warm-Up,01-12-2023,31-12-2023,10000
37,"New Year, New Deals",01-01-2023,31-01-2023,8000
38,Valentine's Day Sale,01-02-2023,14-02-2023,3000
39,Easter Eggstravaganza,01-04-2023,30-04-2023,4000
40,Fall Festivities,01-09-2023,30-09-2023,5500
